日本語,春日語
よろしく,オブです
どうも,オブです
お疲れ様,HEY!たくちゃん
到着,降臨
こんにちは,イピス
今どこですか？,どち男か男？
どうもどうも,ごんす
OK,ごんす
よろしく,ごんす
充電がない,充がなし男
なるほど,なるT
ゴールドジム,Gルド
私,春日
僕,春日
自分,春日
俺,春日
やらかした,ア゛ああああパァーーーーーーーー
失礼しました,失礼ぶっこきました
すみません,失礼ぶっこきました
はい,うい
うん,うい
そうだね,うい
嘘,うそこ
うまい刺身,うましみ
オーマイゴッド,オーマイ神様
Oh my god,オーマイ神様
OMG,オーマイ神様
お前,若の字
あなた,若の字
君,若の字
トイレ,便ステ
お手洗い,便ステ
勘弁してくださいよ,勘弁してちょうよ
です,でござんす
でございます,でござんす
コンビニ,コンビニエンス
タクシー,シータクちゃん
失礼します,失礼ぶっこきます
するなよ,するんじゃあないよ
大丈夫,だいじょうブイ
どうしようかな,どうしたもんかいのー
猫,にゃんころもち
さようなら,このあとまた夢でお会いしましょう
よろしくお願いします,ひとつよしなに
本当,ほんとこ
母,マム
母親,マム
お母さん,マム
難しい,ムズ
もちろん,モチのロン
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
